Date,Campaign ID,Daily budget
2022-01-20,15870568792,15563.45
2022-01-20,15870594223,55500
2022-01-20,15870755947,45000.32
2022-01-20,15870972898,18500
2022-01-20,15874449302,1000
2022-01-20,15876564437,6800
2022-01-20,15880104136,1170.84
2022-01-20,15884121065,290212
2022-01-20,15884377406,6000.42
2022-01-20,15884502197,1300.52
2022-01-20,15885198386,1100.92
2022-01-21,1822059265,290212
2022-01-21,8789177912,1300.52
2022-01-21,8789177918,2500.03
2022-01-21,8789177930,8400.77
2022-01-21,8789177936,45000.32
2022-01-21,8789177942,1250.72
2022-01-21,8789177948,6500
2022-01-21,8789177954,1000
2022-01-21,8789177969,18500
2022-01-21,10081407552,2800.06
2022-01-21,10712348821,3270.62
2022-01-21,10712348824,12500
2022-01-21,10712348827,2200
2022-01-21,10712348830,1540.45
2022-01-21,10712348842,3250.98
2022-01-21,10712348845,1000
2022-01-21,10712348848,1000
2022-01-21,10712348866,1000
2022-01-21,10712348869,1170.84
2022-01-21,10712348875,1000
2022-01-21,10712348878,1100.92
2022-01-21,10712349001,55500
2022-01-21,10712349004,1000
2022-01-21,11866806387,2500.61
2022-01-21,13273184588,6800
2022-01-21,13273184594,15563.45
2022-01-21,13273184600,6000.42
2022-01-21,13273184603,6600.09
2022-01-21,15640225612,22500
2022-01-21,15866455614,6500
2022-01-21,15867131169,22500
2022-01-21,15870568792,15563.45
2022-01-21,15870594223,55500
2022-01-21,15870755947,45000.32
2022-01-21,15870972898,18500
2022-01-21,15874449302,1000
2022-01-21,15876564437,6800
2022-01-21,15880104136,1170.84
2022-01-21,15884121065,290212
2022-01-21,15884377406,6000.42
2022-01-21,15884502197,1300.52
2022-01-21,15885198386,1100.92
2022-01-22,1822059265,290212
2022-01-22,8789177912,1300.52
2022-01-22,8789177918,2500.03
2022-01-22,8789177930,8400.77
2022-01-22,8789177936,45000.32
2022-01-22,8789177942,1250.72
2022-01-22,8789177948,6500
2022-01-22,8789177954,1000
2022-01-22,8789177969,18500
2022-01-22,10081407552,2800.06
2022-01-22,10712348821,3270.62
2022-01-22,10712348824,12500
2022-01-22,10712348827,2200
2022-01-22,10712348830,1540.45
2022-01-22,10712348842,3250.98
2022-01-22,10712348845,1000
2022-01-22,10712348848,1000
2022-01-22,10712348866,1000
2022-01-22,10712348869,1170.84
2022-01-22,10712348872,1000
2022-01-22,10712348875,1000
2022-01-22,10712348878,1100.92
2022-01-22,10712349001,55500
2022-01-22,10712349004,1000
2022-01-22,11866806387,2500.61
2022-01-22,13273184588,6800
2022-01-22,13273184594,15563.45
2022-01-22,13273184600,6000.42
2022-01-22,13273184603,6600.09
2022-01-22,15640225612,22500
2022-01-22,15866455614,6500
2022-01-22,15867131169,22500
2022-01-22,15870568792,15563.45
2022-01-22,15870594223,55500
2022-01-22,15870755947,45000.32
2022-01-22,15870972898,18500
2022-01-22,15874449302,1000
2022-01-22,15876564437,6800
2022-01-22,15880104136,1170.84
2022-01-22,15884121065,290212
2022-01-22,15884377406,6000.42
2022-01-22,15884502197,1300.52
2022-01-22,15885198386,1100.92
2022-01-23,1822059265,290212
2022-01-23,8789177912,1300.52
2022-01-23,8789177918,2500.03
2022-01-23,8789177930,8400.77
2022-01-23,8789177936,45000.32
2022-01-23,8789177942,1250.72
2022-01-23,8789177948,6500
2022-01-23,8789177954,1000
2022-01-23,8789177969,18500
2022-01-23,10081407552,2800.06
2022-01-23,10712348821,3270.62
2022-01-23,10712348824,12500
2022-01-23,10712348827,2200
2022-01-23,10712348830,1540.45
2022-01-23,10712348842,3250.98
2022-01-23,10712348845,1000
2022-01-23,10712348848,1000
2022-01-23,10712348866,1000
2022-01-23,10712348869,1170.84
2022-01-23,10712348872,1000
2022-01-23,10712348875,1000
2022-01-23,10712348878,1100.92
2022-01-23,10712349001,55500
2022-01-23,10712349004,1000
2022-01-23,11866806387,2500.61
2022-01-23,13273184588,6800
2022-01-23,13273184594,15563.45
2022-01-23,13273184600,6000.42
2022-01-23,13273184603,6600.09
2022-01-23,15074228116,1000
2022-01-23,15640225612,22500
2022-01-23,15866455614,6500
2022-01-23,15867131169,22500
2022-01-23,15870568792,15563.45
2022-01-23,15870594223,55500
2022-01-23,15870755947,45000.32
2022-01-23,15870972898,18500
2022-01-23,15874449302,1000
2022-01-23,15876564437,6800
2022-01-23,15880104136,1170.84
2022-01-23,15884121065,290212
2022-01-23,15884377406,6000.42
2022-01-23,15884502197,1300.52
2022-01-23,15885198386,1100.92
2022-01-24,1822059265,290212
2022-01-24,8789177912,1300.52
2022-01-24,8789177918,2500.03
2022-01-24,8789177930,8400.77
2022-01-24,8789177936,45000.32
2022-01-24,8789177942,1250.72
2022-01-24,8789177948,6500
2022-01-24,8789177954,1000
2022-01-24,8789177969,18500
2022-01-24,10081407552,2800.06
2022-01-24,10712348821,3270.62
2022-01-24,10712348824,12500
2022-01-24,10712348827,2200
2022-01-24,10712348830,1540.45
2022-01-24,10712348842,3250.98
2022-01-24,10712348845,1000
2022-01-24,10712348848,1000
2022-01-24,10712348866,1000
2022-01-24,10712348869,1170.84
2022-01-24,10712348872,1000
2022-01-24,10712348875,1000
2022-01-24,10712348878,1100.92
2022-01-24,10712349001,55500
2022-01-24,10712349004,1000
2022-01-24,11866806387,2500.61
2022-01-24,13273184588,6800
2022-01-24,13273184594,15563.45
2022-01-24,13273184600,6000.42
2022-01-24,13273184603,6600.09
2022-01-24,15640225612,22500
2022-01-24,15866455614,6500
2022-01-24,15867131169,22500
2022-01-24,15870568792,15563.45
2022-01-24,15870594223,55500
2022-01-24,15870755947,45000.32
2022-01-24,15870972898,18500
2022-01-24,15874449302,1000
2022-01-24,15876564437,6800
2022-01-24,15880104136,1170.84
2022-01-24,15884121065,290212
2022-01-24,15884377406,6000.42
2022-01-24,15884502197,1300.52
2022-01-24,15885198386,1100.92
2022-01-25,1822059265,290212
2022-01-25,8789177912,1300.52
2022-01-25,8789177918,2500.03
2022-01-25,8789177930,8400.77
2022-01-25,8789177936,45000.32
2022-01-25,8789177942,1250.72
2022-01-25,8789177948,6500
2022-01-25,8789177954,1000
2022-01-25,8789177969,18500
2022-01-25,10081407552,2800.06
2022-01-25,10712348821,3270.62
2022-01-25,10712348824,12500
2022-01-25,10712348827,2200
